window_end_time,Axis1_Smooth,Axis2_Smooth,Axis3_Smooth,Axis4_Smooth,Axis5_Smooth,Axis6_Smooth,Axis7_Smooth,Axis8_Smooth
5369.462,1.559361,6.2319454,5.494992,1.1361296,1.71839,1.8319514,1.615256,0.2083645999999999
5399.798,1.6323255999999997,6.5809174,4.9014234,1.1815542,1.532046,0.9621744,1.6608068,0.202871
5428.254,1.8262032,7.1038486,4.6968902,1.3699629999999998,1.8360804,1.0855434,1.7724176000000005,0.2232758
5458.662,1.8262032,7.1038486,4.276225800000001,1.3064722,1.8360804,1.0855434,1.7161352000000003,0.2232758
5489.208,0.9349908,5.3779656,3.027939,0.932752,1.9129922,0.7324708,1.1542654,0.210719
5519.181,0.8979874,5.4011602,4.1043754,0.9523668,2.117919,1.2538214,1.0777116,0.2358326
5549.503,0.6858686,5.681602799999999,4.4533472,0.7675712,2.0203596,1.2336894,0.9222202,0.2295542
5579.749,0.8708864,6.461782,5.983130999999999,0.9435912,2.2082520000000003,1.4313893999999998,1.2875788,0.1750104
5608.503,1.0486074,6.625198,6.3858724,1.0731542,2.2082520000000003,1.7534907999999998,1.4926756,0.1718712
5638.626,1.0491286000000002,5.8028466000000005,6.7875594,1.1319998,1.809239,1.5831486,1.4435476,0.1577448
5669.171,1.1278259999999998,5.810226600000001,6.7601476,1.198588,1.6487044,1.588827,1.446171,0.1612764
5699.29,1.2315396,5.280969799999999,6.7042698,1.1965232,1.550113,1.5506289999999998,1.3347984000000002,0.1734408
5729.702,1.2351880000000002,5.5044808,6.7791250000000005,1.1562608,1.4814598,1.4375836000000002,1.4936296000000002,0.18639
5758.539,1.495777,6.818134,6.1423298,1.1258058,1.6476728,1.4974610000000002,1.7621628,0.1416564
5788.758,1.725095,8.1929366,5.4022132,1.1521318,1.6672872,1.5304972,1.8093832,0.1404792
5819.187,1.6083512000000002,8.1729048,5.271480800000001,1.2997616,1.820595,1.5599200000000002,2.201213,0.1899218
5849.698,1.5557118000000003,7.8344762,4.787559,1.2073638,1.820595,1.5217222,2.2388934000000003,0.1899218
5878.187,1.17838,7.566684800000001,4.4522928,1.2207848,1.7545229999999998,1.113934,2.0519216,0.2307316
5908.689,1.5333018,6.3742756,4.4312068,1.2022022,1.8577602,1.0086313999999998,1.9076382,0.2307316
5939.109,1.5604028,6.602003600000001,3.7511856,1.0359894,1.8758268,0.8491294,1.4757422,0.2279848
5969.489,2.081058,6.602003600000001,4.1085926,1.2311084,1.9212516,1.0075992,1.639104,0.191099
5998.078,2.252525,6.8107542,4.2424884,1.194975,1.6956776,1.0261822,1.5883068,0.102024
6028.374,2.293177,7.599367599999999,4.4016872,1.1949752,1.771557,1.0437328,1.780764,0.1067328
6058.695,2.2978676,7.6784398,4.5282028,1.1862002,1.771557,1.0437328,1.780764,0.1067328
6089.046,1.8465284,7.466526200000001,4.422772800000001,1.0643798,1.8402098,0.9601104,1.6727306,0.1208592
6119.332,1.8538248,7.838693000000001,5.092251,1.1180633999999998,1.934156,1.011213,1.7578696,0.153036
6146.483,0.9886716,6.781234,5.5192408,1.240916,2.1514714,1.3457021999999998,1.460479,0.160884
6178.601,1.1981848,6.781234,5.5192408,1.240916,2.1514714,1.350864,1.6996790000000002,0.1730484
6208.796,1.2956449999999995,7.546652799999999,5.7163942,1.2280112,1.8799566,1.3395077999999998,1.6868007999999997,0.2417186
6239.862,1.2893907999999998,7.255667,4.936214799999999,0.9466888,1.7787838,1.2434968,1.5732822000000002,0.228377
6268.248,0.9495838,4.12757,2.6346862,0.5476754,0.8449995999999999,0.4568263999999999,0.9644314,0.153821
6298.32,0.4977236,3.2778072000000003,2.0158144,0.2870004,0.4444379999999999,0.3360383999999999,0.6148132000000001,0.140087
6328.389,0.2449526,1.7174484,2.493411,0.5167042,1.0437322,0.4083045999999999,0.440481,0.003924
6358.843,0.4492538,3.2672638000000003,3.9261998,0.6989186,1.1908458,0.6023912,0.8308802,0.0584676
6389.83,0.7385064,5.645756199999999,5.0047448,1.1025774,1.9831942,1.0365054,1.5971312,0.0773028
6419.483,0.9214394,6.8191880000000005,6.0316292,1.3116334,2.3285238,1.1412916,1.857318,0.1542134
6448.321,1.347241,6.765419400000001,4.8972062,1.1304512,1.749877,1.0034694,1.8759202,0.1624538
6478.281,1.5499788,8.1001584,5.1143908,1.1944586,1.8985392,1.1030936,1.921709,0.1824662
6508.844,1.5614448,7.664733799999999,5.0479704,1.0246332,1.6487044,1.212525,1.9028684,0.1765802
6539.321,1.5614448,7.664733799999999,4.9920928,1.070574,1.3864812,1.3704784,2.0378504,0.1765802
6569.92,1.1273048,7.867158599999999,4.3342122,1.0344410000000002,1.7555556,1.2651766,2.130621,0.2099344
